Non-Matches,Recommended?
2008-09-25 09:47:22Z,"bad, no recommended words"
relativetime,"good, no recommended words"
user-gravatar32,"good, recommended words[1]"
/users/7883/vasil,"good, recommended words[1]"
gravatar-wrapper-32,"good, recommended words[2]"
user avatar,"good, recommended words[1, 2]"
32,"bad, no recommended words"
32,"bad, no recommended words"
user-details,"good, recommended words[1, 2]"
author,"good, recommended words[1]"
None,"good, recommended words[1]"
http://schema.org/Person,"good, recommended words[2, 3, 4]"
/users/7883/vasil,"good, recommended words[1]"
d-none,"good, recommended words[2]"
name,"good, recommended words[1]"
-flair,"good, recommended words[1]"
reputation-score,"good, recommended words[1, 2]"
"reputation score 34,714","good, recommended words[1, 2]"
ltr,"bad, no recommended words"
true,"good, recommended words[1]"
true,"good, recommended words[1]"
true,"good, recommended words[1]"
d-none,"good, recommended words[2]"
commentCount,"good, no recommended words"
post-layout--right js-post-comments-component,"good, recommended words[1, 2, 3, 5, 6, 7]"
comments-132370,"good, recommended words[1]"
132370,"bad, no recommended words"
15,"bad, no recommended words"
comments-list js-comments-list,"good, recommended words[1, 2, 4, 5]"
0,"bad, no recommended words"
false,"good, recommended words[1]"
true,"good, recommended words[1]"
false,"good, recommended words[1]"
true,"good, recommended words[1]"
comments-link-132370,"good, recommended words[1, 2]"
50,"bad, no recommended words"
true,"good, recommended words[1]"
Use comments to ask for more information or suggest improvements. Avoid comments like “+1” or “thanks”.,"good, recommended words[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]"
#,"bad, no recommended words"
js-link-separator dno,"good, recommended words[2, 3]"
js-show-link comments-link dno,"good, recommended words[2, 3, 4, 5]"
Expand to show all comments on this post,"good, recommended words[1, 2, 3, 4, 5, 6, 7, 8]"
#,"bad, no recommended words"
,"bad, no recommended words"
133586,"bad, no recommended words"
answer-133586,"bad, recommended words[1]"
answer js-answer,"good, recommended words[1, 3]"
133586,"bad, no recommended words"
132359,"bad, no recommended words"
22,"bad, no recommended words"
3,"bad, no recommended words"
0,"bad, no recommended words"
0,"bad, no recommended words"
suggestedAnswer,"good, no recommended words"
None,"good, recommended words[1]"
https://schema.org/Answer,"bad, recommended words[2, 3, 4]"
post-layout,"good, recommended words[1, 2]"
votecell post-layout--left,"good, recommended words[2, 3, 4]"
133586,"bad, no recommended words"
upvoteCount,"good, no recommended words"
22,"bad, no recommended words"
fs-caption,"good, recommended words[2]"
js-accepted-answer-indicator flex--item fc-green-500 py6 mtn8 d-none,"good, recommended words[2, 3, 4, 5, 6, 8, 12]"
right,"good, recommended words[1]"
Loading when this answer was accepted…,"good, recommended words[1, 2, 3, 4, 5, 6]"
0,"bad, no recommended words"
note,"good, recommended words[1]"
Accepted,"good, recommended words[1]"
ta-center,"good, recommended words[1, 2]"
true,"good, recommended words[1]"
svg-icon iconCheckmarkLg,"good, recommended words[2]"
36,"bad, no recommended words"
36,"bad, no recommended words"
0 0 36 36,"bad, no recommended words"
m6 14 8 8L30 6v8L14 30l-8-8v-8Z,"bad, no recommended words"
/posts/133586/timeline,"good, recommended words[1, 2]"
T,"bad, no recommended words"
timeline,"good, recommended words[1]"
s-tooltip,"good, no recommended words"
right,"good, recommended words[1]"
Show activity on this post.,"good, recommended words[1, 2, 3, 4, 5]"
Timeline,"good, recommended words[1]"
true,"good, recommended words[1]"
mln2 mr0 svg-icon iconHistory,"good, recommended words[4]"
19,"bad, no recommended words"
18,"bad, no recommended words"
0 0 19 18,"bad, no recommended words"
M3 9a8 8 0 1 1 3.73 6.77L8.2 14.3A6 6 0 1 0 5 9l3.01-.01-4 4-4-4h3L3 9Zm7-4h1.01L11 9.36l3.22 2.1-.6.93L10 10V5Z,"bad, no recommended words"
answercell post-layout--right,"good, recommended words[2, 3, 4]"
text,"good, recommended words[1]"
nofollow noreferrer,"good, no recommended words"
mt24,"bad, recommended words[1]"
d-flex fw-wrap ai-start jc-end gs8 gsy,"bad, recommended words[2, 4, 6, 8, 9]"
dateCreated,"good, no recommended words"
2008-09-25T14:14:29,"bad, no recommended words"
flex--item mr16,"good, recommended words[1, 2]"
flex: 1 1 100px;,"bad, recommended words[1]"
js-post-menu pt2,"good, recommended words[2, 3, 4]"
133586,"bad, no recommended words"
d-flex gs8 s-anchors s-anchors__muted fw-wrap,"good, recommended words[2, 3, 5, 7, 8, 10]"
flex--item,"good, recommended words[1, 2]"
/a/133586,"bad, no recommended words"
nofollow,"good, no recommended words"
url,"good, no recommended words"
js-share-link js-gps-track,"good, recommended words[2, 3, 6]"
Short permalink to this answer,"good, recommended words[1, 3, 4, 5]"
"post.click({ item: 2, priv: 0, post_type: 2 })","good, recommended words[1, 2, 3, 5, 6]"
se-share-sheet,"good, recommended words[2, 3]"
Share a link to this answer,"good, recommended words[1, 3, 4, 5, 6]"
,"bad, no recommended words"
answer,"good, recommended words[1]"
2,"bad, no recommended words"
CC BY-SA 2.5,"good, recommended words[1, 2, 3]"
js-menu-popup-container,"good, recommended words[2, 3, 4]"
post-signature flex--item fl0,"good, recommended words[1, 2, 3, 4, 5]"
user-info user-hover,"good, recommended words[1, 2, 3, 4]"
user-action-time,"good, recommended words[1, 2, 3]"
2008-09-25 14:14:29Z,"bad, no recommended words"
relativetime,"good, no recommended words"
user-gravatar32,"good, recommended words[1]"
/users/1968/konrad-rudolph,"good, recommended words[1]"
gravatar-wrapper-32,"good, recommended words[2]"
user avatar,"good, recommended words[1, 2]"
32,"bad, no recommended words"
32,"bad, no recommended words"
user-details,"good, recommended words[1, 2]"
author,"good, recommended words[1]"
None,"good, recommended words[1]"
http://schema.org/Person,"good, recommended words[2, 3, 4]"
/users/1968/konrad-rudolph,"good, recommended words[1]"
d-none,"good, recommended words[2]"
name,"good, recommended words[1]"
-flair,"good, recommended words[1]"
reputation-score,"good, recommended words[1, 2]"
"reputation score 507,914","good, recommended words[1, 2]"
ltr,"bad, no recommended words"
true,"good, recommended words[1]"
true,"good, recommended words[1]"
true,"good, recommended words[1]"
d-none,"good, recommended words[2]"
commentCount,"good, no recommended words"
post-layout--right js-post-comments-component,"good, recommended words[1, 2, 3, 5, 6, 7]"
comments-133586,"good, recommended words[1]"
133586,"bad, no recommended words"
15,"bad, no recommended words"
comments-list js-comments-list,"good, recommended words[1, 2, 4, 5]"
0,"bad, no recommended words"
false,"good, recommended words[1]"
true,"good, recommended words[1]"
false,"good, recommended words[1]"
true,"good, recommended words[1]"
comment-114353,"good, recommended words[1]"
comment js-comment ,"good, recommended words[1, 3]"
114353,"bad, no recommended words"
15962,"bad, no recommended words"
4,"bad, no recommended words"
js-comment-actions comment-actions,"good, recommended words[2, 3, 4, 5]"
comment-score js-comment-edit-hide,"good, recommended words[1, 2, 4, 5, 6]"
cool,"good, recommended words[1]"
comment-text  js-comment-text-and-form,"good, recommended words[1, 2, 4, 5, 6, 7]"
comment-copy,"good, recommended words[1, 2]"
d-inline-flex ai-center,"good, recommended words[2, 3, 5]"
/users/15962/squarecog,"good, recommended words[1]"
"19,091 reputation","good, recommended words[1]"
comment-user,"good, recommended words[1, 2]"
comment-date,"good, recommended words[1, 2]"
ltr,"bad, no recommended words"
"2008-10-31 22:31:18Z, License: CC BY-SA 2.5","bad, recommended words[2, 3, 4, 5]"
relativetime-clean,"good, recommended words[2]"
comment-5397855,"bad, recommended words[1]"
comment js-comment ,"good, recommended words[1, 3]"
5397855,"bad, no recommended words"
178436,"bad, no recommended words"
0,"bad, no recommended words"
js-comment-actions comment-actions,"good, recommended words[2, 3, 4, 5]"
comment-score js-comment-edit-hide,"good, recommended words[1, 2, 4, 5, 6]"
comment-text  js-comment-text-and-form,"good, recommended words[1, 2, 4, 5, 6, 7]"
comment-copy,"good, recommended words[1, 2]"
d-inline-flex ai-center,"good, recommended words[2, 3, 5]"
/users/178436/stefan-savev,"good, recommended words[1]"
"1,279 reputation","good, recommended words[1]"
comment-user,"good, recommended words[1, 2]"
comment-date,"good, recommended words[1, 2]"
ltr,"bad, no recommended words"
"2011-02-01 01:37:10Z, License: CC BY-SA 2.5","bad, recommended words[2, 3, 4, 5]"
relativetime-clean,"good, recommended words[2]"
comment-5400294,"bad, recommended words[1]"
comment js-comment ,"good, recommended words[1, 3]"
5400294,"bad, no recommended words"
1968,"bad, no recommended words"
0,"bad, no recommended words"
js-comment-actions comment-actions,"good, recommended words[2, 3, 4, 5]"
comment-score js-comment-edit-hide,"good, recommended words[1, 2, 4, 5, 6]"
comment-text  js-comment-text-and-form,"good, recommended words[1, 2, 4, 5, 6, 7]"
comment-copy,"good, recommended words[1, 2]"
d-inline-flex ai-center,"good, recommended words[2, 3, 5]"
/users/1968/konrad-rudolph,"good, recommended words[1]"
"507,914 reputation","good, recommended words[1]"
comment-user,"good, recommended words[1, 2]"
comment-date,"good, recommended words[1, 2]"
ltr,"bad, no recommended words"
"2011-02-01 07:48:03Z, License: CC BY-SA 2.5","bad, recommended words[2, 3, 4, 5]"
relativetime-clean,"good, recommended words[2]"
comments-link-133586,"good, recommended words[1, 2]"
50,"bad, no recommended words"
true,"good, recommended words[1]"
Use comments to ask for more information or suggest improvements. Avoid comments like “+1” or “thanks”.,"good, recommended words[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]"
#,"bad, no recommended words"
js-link-separator dno,"good, recommended words[2, 3]"
js-show-link comments-link dno,"good, recommended words[2, 3, 4, 5]"
Expand to show all comments on this post,"good, recommended words[1, 2, 3, 4, 5, 6, 7, 8]"
#,"bad, no recommended words"
,"bad, no recommended words"
js-zone-container zone-container-main,"good, recommended words[2, 3, 4, 5, 6]"
width: 728px,"bad, recommended words[1]"
416076,"bad, no recommended words"
answer-416076,"bad, recommended words[1]"
answer js-answer accepted-answer js-accepted-answer,"good, recommended words[1, 3, 4, 5, 7, 8]"
416076,"bad, no recommended words"
132359,"bad, no recommended words"
5,"bad, no recommended words"
4,"bad, no recommended words"
0,"bad, no recommended words"
0,"bad, no recommended words"
suggestedAnswer,"good, no recommended words"
None,"good, recommended words[1]"
https://schema.org/Answer,"bad, recommended words[2, 3, 4]"
post-layout,"good, recommended words[1, 2]"
votecell post-layout--left,"good, recommended words[2, 3, 4]"
416076,"bad, no recommended words"
upvoteCount,"good, no recommended words"
5,"bad, no recommended words"
fs-caption,"good, recommended words[2]"
js-accepted-answer-indicator flex--item fc-green-500 py6 mtn8,"good, recommended words[2, 3, 4, 5, 6, 8]"
right,"good, recommended words[1]"
Loading when this answer was accepted…,"good, recommended words[1, 2, 3, 4, 5, 6]"
0,"bad, no recommended words"
note,"good, recommended words[1]"
Accepted,"good, recommended words[1]"
ta-center,"good, recommended words[1, 2]"
true,"good, recommended words[1]"
svg-icon iconCheckmarkLg,"good, recommended words[2]"
36,"bad, no recommended words"
36,"bad, no recommended words"
0 0 36 36,"bad, no recommended words"
m6 14 8 8L30 6v8L14 30l-8-8v-8Z,"bad, no recommended words"
/posts/416076/timeline,"good, recommended words[1, 2]"
T,"bad, no recommended words"
timeline,"good, recommended words[1]"
s-tooltip,"good, no recommended words"
right,"good, recommended words[1]"
Show activity on this post.,"good, recommended words[1, 2, 3, 4, 5]"
Timeline,"good, recommended words[1]"
true,"good, recommended words[1]"
mln2 mr0 svg-icon iconHistory,"good, recommended words[4]"
19,"bad, no recommended words"
18,"bad, no recommended words"
0 0 19 18,"bad, no recommended words"
M3 9a8 8 0 1 1 3.73 6.77L8.2 14.3A6 6 0 1 0 5 9l3.01-.01-4 4-4-4h3L3 9Zm7-4h1.01L11 9.36l3.22 2.1-.6.93L10 10V5Z,"bad, no recommended words"
answercell post-layout--right,"good, recommended words[2, 3, 4]"
text,"good, recommended words[1]"
http://en.wikipedia.org/wiki/Google_platform,"good, recommended words[2, 4, 5, 6, 7]"
nofollow noreferrer,"good, no recommended words"
nofollow noreferrer,"good, no recommended words"
nofollow noreferrer,"good, no recommended words"
http://research.google.com/archive/gfs-sosp2003.pdf,"good, recommended words[2, 3, 4, 5]"
nofollow noreferrer,"good, no recommended words"
mt24,"bad, recommended words[1]"
d-flex fw-wrap ai-start jc-end gs8 gsy,"bad, recommended words[2, 4, 6, 8, 9]"
dateCreated,"good, no recommended words"
2009-01-06T10:44:22,"bad, no recommended words"
flex--item mr16,"good, recommended words[1, 2]"
flex: 1 1 100px;,"bad, recommended words[1]"
js-post-menu pt2,"good, recommended words[2, 3, 4]"
416076,"bad, no recommended words"
d-flex gs8 s-anchors s-anchors__muted fw-wrap,"good, recommended words[2, 3, 5, 7, 8, 10]"
flex--item,"good, recommended words[1, 2]"
/a/416076,"bad, no recommended words"
nofollow,"good, no recommended words"
url,"good, no recommended words"
js-share-link js-gps-track,"good, recommended words[2, 3, 6]"
Short permalink to this answer,"good, recommended words[1, 3, 4, 5]"
"post.click({ item: 2, priv: 0, post_type: 2 })","good, recommended words[1, 2, 3, 5, 6]"
se-share-sheet,"good, recommended words[2, 3]"
Share a link to this answer,"good, recommended words[1, 3, 4, 5, 6]"
,"bad, no recommended words"
answer,"good, recommended words[1]"
2,"bad, no recommended words"
CC BY-SA 2.5,"good, recommended words[1, 2, 3]"
js-menu-popup-container,"good, recommended words[2, 3, 4]"
post-signature owner flex--item fl0,"good, recommended words[1, 2, 3, 4, 5, 6]"
user-info user-hover,"good, recommended words[1, 2, 3, 4]"
user-action-time,"good, recommended words[1, 2, 3]"
2009-01-06 10:44:22Z,"bad, no recommended words"
relativetime,"good, no recommended words"
user-gravatar32,"good, recommended words[1]"
/users/6508/jorge-ferreira,"good, recommended words[1]"
gravatar-wrapper-32,"good, recommended words[2]"
user avatar,"good, recommended words[1, 2]"
32,"bad, no recommended words"
32,"bad, no recommended words"
user-details,"good, recommended words[1, 2]"
author,"good, recommended words[1]"
None,"good, recommended words[1]"
http://schema.org/Person,"good, recommended words[2, 3, 4]"
/users/6508/jorge-ferreira,"good, recommended words[1]"
d-none,"good, recommended words[2]"
name,"good, recommended words[1]"
-flair,"good, recommended words[1]"
reputation-score,"good, recommended words[1, 2]"
"reputation score 93,075","good, recommended words[1, 2]"
ltr,"bad, no recommended words"
true,"good, recommended words[1]"
true,"good, recommended words[1]"
true,"good, recommended words[1]"
d-none,"good, recommended words[2]"
commentCount,"good, no recommended words"
post-layout--right js-post-comments-component,"good, recommended words[1, 2, 3, 5, 6, 7]"
comments-416076,"good, recommended words[1]"
416076,"bad, no recommended words"
15,"bad, no recommended words"
comments-list js-comments-list,"good, recommended words[1, 2, 4, 5]"
0,"bad, no recommended words"
false,"good, recommended words[1]"
true,"good, recommended words[1]"
false,"good, recommended words[1]"
true,"good, recommended words[1]"
comments-link-416076,"good, recommended words[1, 2]"
50,"bad, no recommended words"
true,"good, recommended words[1]"
Use comments to ask for more information or suggest improvements. Avoid comments like “+1” or “thanks”.,"good, recommended words[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]"
#,"bad, no recommended words"
js-link-separator dno,"good, recommended words[2, 3]"
js-show-link comments-link dno,"good, recommended words[2, 3, 4, 5]"
Expand to show all comments on this post,"good, recommended words[1, 2, 3, 4, 5, 6, 7, 8]"
#,"bad, no recommended words"
,"bad, no recommended words"
132380,"bad, no recommended words"
answer-132380,"bad, recommended words[1]"
answer js-answer,"good, recommended words[1, 3]"
132380,"bad, no recommended words"
132359,"bad, no recommended words"
4,"bad, no recommended words"
5,"bad, no recommended words"
0,"bad, no recommended words"
0,"bad, no recommended words"
suggestedAnswer,"good, no recommended words"
None,"good, recommended words[1]"
https://schema.org/Answer,"bad, recommended words[2, 3, 4]"
post-layout,"good, recommended words[1, 2]"
votecell post-layout--left,"good, recommended words[2, 3, 4]"
132380,"bad, no recommended words"
upvoteCount,"good, no recommended words"
4,"bad, no recommended words"
fs-caption,"good, recommended words[2]"
js-accepted-answer-indicator flex--item fc-green-500 py6 mtn8 d-none,"good, recommended words[2, 3, 4, 5, 6, 8, 12]"
right,"good, recommended words[1]"
Loading when this answer was accepted…,"good, recommended words[1, 2, 3, 4, 5, 6]"
0,"bad, no recommended words"
note,"good, recommended words[1]"
Accepted,"good, recommended words[1]"
ta-center,"good, recommended words[1, 2]"
true,"good, recommended words[1]"
svg-icon iconCheckmarkLg,"good, recommended words[2]"
36,"bad, no recommended words"
36,"bad, no recommended words"
0 0 36 36,"bad, no recommended words"
m6 14 8 8L30 6v8L14 30l-8-8v-8Z,"bad, no recommended words"
/posts/132380/timeline,"good, recommended words[1, 2]"
T,"bad, no recommended words"
timeline,"good, recommended words[1]"
s-tooltip,"good, no recommended words"
right,"good, recommended words[1]"
Show activity on this post.,"good, recommended words[1, 2, 3, 4, 5]"
Timeline,"good, recommended words[1]"
true,"good, recommended words[1]"
mln2 mr0 svg-icon iconHistory,"good, recommended words[4]"
19,"bad, no recommended words"
18,"bad, no recommended words"
0 0 19 18,"bad, no recommended words"
M3 9a8 8 0 1 1 3.73 6.77L8.2 14.3A6 6 0 1 0 5 9l3.01-.01-4 4-4-4h3L3 9Zm7-4h1.01L11 9.36l3.22 2.1-.6.93L10 10V5Z,"bad, no recommended words"
answercell post-layout--right,"good, recommended words[2, 3, 4]"
text,"good, recommended words[1]"
mt24,"bad, recommended words[1]"
d-flex fw-wrap ai-start jc-end gs8 gsy,"bad, recommended words[2, 4, 6, 8, 9]"
dateCreated,"good, no recommended words"
2008-09-25T09:49:21,"bad, no recommended words"
flex--item mr16,"good, recommended words[1, 2]"
flex: 1 1 100px;,"bad, recommended words[1]"
js-post-menu pt2,"good, recommended words[2, 3, 4]"
132380,"bad, no recommended words"
d-flex gs8 s-anchors s-anchors__muted fw-wrap,"good, recommended words[2, 3, 5, 7, 8, 10]"
flex--item,"good, recommended words[1, 2]"
/a/132380,"bad, no recommended words"
nofollow,"good, no recommended words"
url,"good, no recommended words"
js-share-link js-gps-track,"good, recommended words[2, 3, 6]"
Short permalink to this answer,"good, recommended words[1, 3, 4, 5]"
"post.click({ item: 2, priv: 0, post_type: 2 })","good, recommended words[1, 2, 3, 5, 6]"
se-share-sheet,"good, recommended words[2, 3]"
Share a link to this answer,"good, recommended words[1, 3, 4, 5, 6]"
,"bad, no recommended words"
answer,"good, recommended words[1]"
2,"bad, no recommended words"
CC BY-SA 2.5,"good, recommended words[1, 2, 3]"
js-menu-popup-container,"good, recommended words[2, 3, 4]"
post-signature flex--item fl0,"good, recommended words[1, 2, 3, 4, 5]"
user-info ,"good, recommended words[1, 2]"
user-action-time,"good, recommended words[1, 2, 3]"
2008-09-25 09:49:21Z,"bad, no recommended words"
relativetime,"good, no recommended words"
user-gravatar32,"good, recommended words[1]"
/users/1709/anders-sandvig,"good, recommended words[1]"
gravatar-wrapper-32,"good, recommended words[2]"
user avatar,"good, recommended words[1, 2]"
32,"bad, no recommended words"
32,"bad, no recommended words"
user-details,"good, recommended words[1, 2]"
author,"good, recommended words[1]"
None,"good, recommended words[1]"
http://schema.org/Person,"good, recommended words[2, 3, 4]"
/users/1709/anders-sandvig,"good, recommended words[1]"
d-none,"good, recommended words[2]"
name,"good, recommended words[1]"
-flair,"good, recommended words[1]"
reputation-score,"good, recommended words[1, 2]"
"reputation score 20,342","good, recommended words[1, 2]"
ltr,"bad, no recommended words"
true,"good, recommended words[1]"
true,"good, recommended words[1]"
true,"good, recommended words[1]"
d-none,"good, recommended words[2]"
commentCount,"good, no recommended words"
post-layout--right js-post-comments-component,"good, recommended words[1, 2, 3, 5, 6, 7]"
comments-132380,"good, recommended words[1]"
132380,"bad, no recommended words"
15,"bad, no recommended words"
comments-list js-comments-list,"good, recommended words[1, 2, 4, 5]"
0,"bad, no recommended words"
false,"good, recommended words[1]"
true,"good, recommended words[1]"
false,"good, recommended words[1]"
true,"good, recommended words[1]"
comments-link-132380,"good, recommended words[1, 2]"
50,"bad, no recommended words"
true,"good, recommended words[1]"
Use comments to ask for more information or suggest improvements. Avoid comments like “+1” or “thanks”.,"good, recommended words[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]"
#,"bad, no recommended words"
js-link-separator dno,"good, recommended words[2, 3]"
js-show-link comments-link dno,"good, recommended words[2, 3, 4, 5]"
Expand to show all comments on this post,"good, recommended words[1, 2, 3, 4, 5, 6, 7, 8]"
#,"bad, no recommended words"
,"bad, no recommended words"
132398,"bad, no recommended words"
answer-132398,"bad, recommended words[1]"
answer js-answer,"good, recommended words[1, 3]"
132398,"bad, no recommended words"
132359,"bad, no recommended words"
4,"bad, no recommended words"
6,"bad, no recommended words"
0,"bad, no recommended words"
0,"bad, no recommended words"
suggestedAnswer,"good, no recommended words"
None,"good, recommended words[1]"
https://schema.org/Answer,"bad, recommended words[2, 3, 4]"
post-layout,"good, recommended words[1, 2]"
votecell post-layout--left,"good, recommended words[2, 3, 4]"
132398,"bad, no recommended words"
upvoteCount,"good, no recommended words"
4,"bad, no recommended words"
fs-caption,"good, recommended words[2]"
js-accepted-answer-indicator flex--item fc-green-500 py6 mtn8 d-none,"good, recommended words[2, 3, 4, 5, 6, 8, 12]"
right,"good, recommended words[1]"
Loading when this answer was accepted…,"good, recommended words[1, 2, 3, 4, 5, 6]"
0,"bad, no recommended words"
note,"good, recommended words[1]"
Accepted,"good, recommended words[1]"
ta-center,"good, recommended words[1, 2]"
true,"good, recommended words[1]"
svg-icon iconCheckmarkLg,"good, recommended words[2]"
36,"bad, no recommended words"
36,"bad, no recommended words"
0 0 36 36,"bad, no recommended words"
m6 14 8 8L30 6v8L14 30l-8-8v-8Z,"bad, no recommended words"
/posts/132398/timeline,"good, recommended words[1, 2]"
T,"bad, no recommended words"
timeline,"good, recommended words[1]"
s-tooltip,"good, no recommended words"
right,"good, recommended words[1]"
Show activity on this post.,"good, recommended words[1, 2, 3, 4, 5]"
Timeline,"good, recommended words[1]"
true,"good, recommended words[1]"
mln2 mr0 svg-icon iconHistory,"good, recommended words[4]"
19,"bad, no recommended words"
18,"bad, no recommended words"
0 0 19 18,"bad, no recommended words"
M3 9a8 8 0 1 1 3.73 6.77L8.2 14.3A6 6 0 1 0 5 9l3.01-.01-4 4-4-4h3L3 9Zm7-4h1.01L11 9.36l3.22 2.1-.6.93L10 10V5Z,"bad, no recommended words"
answercell post-layout--right,"good, recommended words[2, 3, 4]"
text,"good, recommended words[1]"
mt24,"bad, recommended words[1]"
d-flex fw-wrap ai-start jc-end gs8 gsy,"bad, recommended words[2, 4, 6, 8, 9]"
dateCreated,"good, no recommended words"
2008-09-25T09:53:27,"bad, no recommended words"
flex--item mr16,"good, recommended words[1, 2]"
flex: 1 1 100px;,"bad, recommended words[1]"
js-post-menu pt2,"good, recommended words[2, 3, 4]"
132398,"bad, no recommended words"
d-flex gs8 s-anchors s-anchors__muted fw-wrap,"good, recommended words[2, 3, 5, 7, 8, 10]"
flex--item,"good, recommended words[1, 2]"
/a/132398,"bad, no recommended words"
nofollow,"good, no recommended words"
url,"good, no recommended words"
js-share-link js-gps-track,"good, recommended words[2, 3, 6]"
Short permalink to this answer,"good, recommended words[1, 3, 4, 5]"
"post.click({ item: 2, priv: 0, post_type: 2 })","good, recommended words[1, 2, 3, 5, 6]"
se-share-sheet,"good, recommended words[2, 3]"
Share a link to this answer,"good, recommended words[1, 3, 4, 5, 6]"
,"bad, no recommended words"
answer,"good, recommended words[1]"
2,"bad, no recommended words"
CC BY-SA 2.5,"good, recommended words[1, 2, 3]"
js-menu-popup-container,"good, recommended words[2, 3, 4]"
post-signature flex--item fl0,"good, recommended words[1, 2, 3, 4, 5]"
user-info user-hover,"good, recommended words[1, 2, 3, 4]"
user-action-time,"good, recommended words[1, 2, 3]"
2008-09-25 09:53:27Z,"bad, no recommended words"
relativetime,"good, no recommended words"
user-gravatar32,"good, recommended words[1]"
/users/15416/msalters,"good, recommended words[1]"
gravatar-wrapper-32,"good, recommended words[2]"
user avatar,"good, recommended words[1, 2]"
32,"bad, no recommended words"
32,"bad, no recommended words"
user-details,"good, recommended words[1, 2]"
author,"good, recommended words[1]"
None,"good, recommended words[1]"
http://schema.org/Person,"good, recommended words[2, 3, 4]"
/users/15416/msalters,"good, recommended words[1]"
d-none,"good, recommended words[2]"
name,"good, recommended words[1]"
-flair,"good, recommended words[1]"
reputation-score,"good, recommended words[1, 2]"
"reputation score 168,055","good, recommended words[1, 2]"
ltr,"bad, no recommended words"
true,"good, recommended words[1]"
true,"good, recommended words[1]"
true,"good, recommended words[1]"
d-none,"good, recommended words[2]"
commentCount,"good, no recommended words"
post-layout--right js-post-comments-component,"good, recommended words[1, 2, 3, 5, 6, 7]"
comments-132398,"good, recommended words[1]"
132398,"bad, no recommended words"
15,"bad, no recommended words"
comments-list js-comments-list,"good, recommended words[1, 2, 4, 5]"
0,"bad, no recommended words"
false,"good, recommended words[1]"
true,"good, recommended words[1]"
false,"good, recommended words[1]"
true,"good, recommended words[1]"
comments-link-132398,"good, recommended words[1, 2]"
50,"bad, no recommended words"
true,"good, recommended words[1]"
Use comments to ask for more information or suggest improvements. Avoid comments like “+1” or “thanks”.,"good, recommended words[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]"
#,"bad, no recommended words"
js-link-separator dno,"good, recommended words[2, 3]"
js-show-link comments-link dno,"good, recommended words[2, 3, 4, 5]"
Expand to show all comments on this post,"good, recommended words[1, 2, 3, 4, 5, 6, 7, 8]"
#,"bad, no recommended words"
,"bad, no recommended words"
255119,"bad, no recommended words"
answer-255119,"bad, recommended words[1]"
answer js-answer,"good, recommended words[1, 3]"
255119,"bad, no recommended words"
132359,"bad, no recommended words"
4,"bad, no recommended words"
7,"bad, no recommended words"
0,"bad, no recommended words"
0,"bad, no recommended words"
suggestedAnswer,"good, no recommended words"
None,"good, recommended words[1]"
https://schema.org/Answer,"bad, recommended words[2, 3, 4]"
post-layout,"good, recommended words[1, 2]"
votecell post-layout--left,"good, recommended words[2, 3, 4]"
255119,"bad, no recommended words"
upvoteCount,"good, no recommended words"
4,"bad, no recommended words"
fs-caption,"good, recommended words[2]"
js-accepted-answer-indicator flex--item fc-green-500 py6 mtn8 d-none,"good, recommended words[2, 3, 4, 5, 6, 8, 12]"
right,"good, recommended words[1]"
Loading when this answer was accepted…,"good, recommended words[1, 2, 3, 4, 5, 6]"
0,"bad, no recommended words"
note,"good, recommended words[1]"
Accepted,"good, recommended words[1]"
ta-center,"good, recommended words[1, 2]"
true,"good, recommended words[1]"
svg-icon iconCheckmarkLg,"good, recommended words[2]"
36,"bad, no recommended words"
36,"bad, no recommended words"
0 0 36 36,"bad, no recommended words"
m6 14 8 8L30 6v8L14 30l-8-8v-8Z,"bad, no recommended words"
/posts/255119/timeline,"good, recommended words[1, 2]"
T,"bad, no recommended words"
timeline,"good, recommended words[1]"
s-tooltip,"good, no recommended words"
right,"good, recommended words[1]"
Show activity on this post.,"good, recommended words[1, 2, 3, 4, 5]"
Timeline,"good, recommended words[1]"
true,"good, recommended words[1]"
mln2 mr0 svg-icon iconHistory,"good, recommended words[4]"
19,"bad, no recommended words"
18,"bad, no recommended words"
0 0 19 18,"bad, no recommended words"
M3 9a8 8 0 1 1 3.73 6.77L8.2 14.3A6 6 0 1 0 5 9l3.01-.01-4 4-4-4h3L3 9Zm7-4h1.01L11 9.36l3.22 2.1-.6.93L10 10V5Z,"bad, no recommended words"
answercell post-layout--right,"good, recommended words[2, 3, 4]"
text,"good, recommended words[1]"
http://www.google.com/technology/pigeonrank.html,"good, recommended words[3, 4, 5]"
nofollow noreferrer,"good, no recommended words"
mt24,"bad, recommended words[1]"
d-flex fw-wrap ai-start jc-end gs8 gsy,"bad, recommended words[2, 4, 6, 8, 9]"
dateCreated,"good, no recommended words"
2008-10-31T22:18:52,"bad, no recommended words"
flex--item mr16,"good, recommended words[1, 2]"
flex: 1 1 100px;,"bad, recommended words[1]"
js-post-menu pt2,"good, recommended words[2, 3, 4]"
