Tag,Depth,Previous Sibling,Number of Children,Full Tag,Full Previous Tag
<span class=""c1""># []</span>
</pre></div>
</div>
<p>Here’s that part of the document:</p>
<div class=""highlight-default notranslate""><div class=""highlight""><pre><span></span><span class=""o"">&lt;</span><span class=""n"">html</span><span class=""o"">&gt;</span>
 <span class=""o"">&lt;</span><span class=""n"">head</span><span class=""o"">&gt;</span>
  <span class=""o"">&lt;</span><span class=""n"">title</span><span class=""o"">&gt;</span>
   <span class=""n"">The</span> <span class=""n"">Dormouse</span><span class=""s1"">'s story</span>
  <span class=""o"">&lt;/</span><span class=""n"">title</span><span class=""o"">&gt;</span>
 <span class=""o"">&lt;/</span><span class=""n"">head</span><span class=""o"">&gt;</span>
<span class=""o"">...</span>
</pre></div>
</div>
<p>The &lt;title&gt; tag is beneath the &lt;html&gt; tag, but it’s not <cite>directly</cite>
beneath the &lt;html&gt; tag: the &lt;head&gt; tag is in the way. Beautiful Soup
finds the &lt;title&gt; tag when it’s allowed to look at all descendants of
the &lt;html&gt; tag, but when <code class=""docutils literal notranslate""><span class=""pre"">recursive=False</span></code> restricts it to the
&lt;html&gt; tag’s immediate children, it finds nothing.</p>
<p>Beautiful Soup offers a lot of tree-searching methods (covered below),
and they mostly take the same arguments as <code class=""docutils literal notranslate""><span class=""pre"">find_all()</span></code>: <code class=""docutils literal notranslate""><span class=""pre"">name</span></code>,
<code class=""docutils literal notranslate""><span class=""pre"">attrs</span></code>, <code class=""docutils literal notranslate""><span class=""pre"">string</span></code>, <code class=""docutils literal notranslate""><span class=""pre"">limit</span></code>, and the keyword arguments. But the
<code class=""docutils literal notranslate""><span class=""pre"">recursive</span></code> argument is different: <code class=""docutils literal notranslate""><span class=""pre"">find_all()</span></code> and <code class=""docutils literal notranslate""><span class=""pre"">find()</span></code> are
the only methods that support it. Passing <code class=""docutils literal notranslate""><span class=""pre"">recursive=False</span></code> into a
method like <code class=""docutils literal notranslate""><span class=""pre"">find_parents()</span></code> wouldn’t be very useful.</p>
</div>
</div>","<div class=""section"" id=""kinds-of-filters"">
<h2>Kinds of filters<a class=""headerlink"" href=""#kinds-of-filters"" title=""Permalink to this headline"">¶</a></h2>
<p>Before talking in detail about <code class=""docutils literal notranslate""><span class=""pre"">find_all()</span></code> and similar methods, I
want to show examples of different filters you can pass into these
methods. These filters show up again and again, throughout the
search API. You can use them to filter based on a tag’s name,
on its attributes, on the text of a string, or on some combination of
these.</p>
<div class=""section"" id=""a-string"">
<span id=""id9""></span><h3>A string<a class=""headerlink"" href=""#a-string"" title=""Permalink to this headline"">¶</a></h3>
<p>The simplest filter is a string. Pass a string to a search method and
Beautiful Soup will perform a match against that exact string. This
code finds all the &lt;b&gt; tags in the document:</p>
<div class=""highlight-default notranslate""><div class=""highlight""><pre><span></span><span class=""n"">soup</span><span class=""o"">.</span><span class=""n"">find_all</span><span class=""p"">(</span><span class=""s1"">'b'</span><span class=""p"">)</span>
<span class=""c1""># [&lt;b&gt;The Dormouse's story&lt;/b&gt;]</span>
</pre></div>
</div>
<p>If you pass in a byte string, Beautiful Soup will assume the string is
encoded as UTF-8. You can avoid this by passing in a Unicode string instead.</p>
</div>
<div class=""section"" id=""a-regular-expression"">
<span id=""id10""></span><h3>A regular expression<a class=""headerlink"" href=""#a-regular-expression"" title=""Permalink to this headline"">¶</a></h3>
<p>If you pass in a regular expression object, Beautiful Soup will filter
against that regular expression using its <code class=""docutils literal notranslate""><span class=""pre"">search()</span></code> method. This code
finds all the tags whose names start with the letter “b”; in this
case, the &lt;body&gt; tag and the &lt;b&gt; tag:</p>
<div class=""highlight-default notranslate""><div class=""highlight""><pre><span></span><span class=""kn"">import</span> <span class=""nn"">re</span>
<span class=""k"">for</span> <span class=""n"">tag</span> <span class=""ow"">in</span> <span class=""n"">soup</span><span class=""o"">.</span><span class=""n"">find_all</span><span class=""p"">(</span><span class=""n"">re</span><span class=""o"">.</span><span class=""n"">compile</span><span class=""p"">(</span><span class=""s2"">""^b""</span><span class=""p"">)):</span>
    <span class=""nb"">print</span><span class=""p"">(</span><span class=""n"">tag</span><span class=""o"">.</span><span class=""n"">name</span><span class=""p"">)</span>
<span class=""c1""># body</span>
<span class=""c1""># b</span>
</pre></div>
</div>
<p>This code finds all the tags whose names contain the letter ‘t’:</p>
<div class=""highlight-default notranslate""><div class=""highlight""><pre><span></span><span class=""k"">for</span> <span class=""n"">tag</span> <span class=""ow"">in</span> <span class=""n"">soup</span><span class=""o"">.</span><span class=""n"">find_all</span><span class=""p"">(</span><span class=""n"">re</span><span class=""o"">.</span><span class=""n"">compile</span><span class=""p"">(</span><span class=""s2"">""t""</span><span class=""p"">)):</span>
    <span class=""nb"">print</span><span class=""p"">(</span><span class=""n"">tag</span><span class=""o"">.</span><span class=""n"">name</span><span class=""p"">)</span>
<span class=""c1""># html</span>
<span class=""c1""># title</span>
</pre></div>
</div>
</div>
<div class=""section"" id=""a-list"">
<span id=""id11""></span><h3>A list<a class=""headerlink"" href=""#a-list"" title=""Permalink to this headline"">¶</a></h3>
<p>If you pass in a list, Beautiful Soup will allow a string match
against <cite>any</cite> item in that list. This code finds all the &lt;a&gt; tags
<cite>and</cite> all the &lt;b&gt; tags:</p>
<div class=""highlight-default notranslate""><div class=""highlight""><pre><span></span><span class=""n"">soup</span><span class=""o"">.</span><span class=""n"">find_all</span><span class=""p"">([</span><span class=""s2"">""a""</span><span class=""p"">,</span> <span class=""s2"">""b""</span><span class=""p"">])</span>
<span class=""c1""># [&lt;b&gt;The Dormouse's story&lt;/b&gt;,</span>
<span class=""c1"">#  &lt;a class=""sister"" href=""http://example.com/elsie"" id=""link1""&gt;Elsie&lt;/a&gt;,</span>
<span class=""c1"">#  &lt;a class=""sister"" href=""http://example.com/lacie"" id=""link2""&gt;Lacie&lt;/a&gt;,</span>
<span class=""c1"">#  &lt;a class=""sister"" href=""http://example.com/tillie"" id=""link3""&gt;Tillie&lt;/a&gt;]</span>
</pre></div>
</div>
</div>
<div class=""section"" id=""true"">
<span id=""the-value-true""></span><h3><code class=""docutils literal notranslate""><span class=""pre"">True</span></code><a class=""headerlink"" href=""#true"" title=""Permalink to this headline"">¶</a></h3>
<p>The value <code class=""docutils literal notranslate""><span class=""pre"">True</span></code> matches everything it can. This code finds <cite>all</cite>
the tags in the document, but none of the text strings:</p>
<div class=""highlight-default notranslate""><div class=""highlight""><pre><span></span><span class=""k"">for</span> <span class=""n"">tag</span> <span class=""ow"">in</span> <span class=""n"">soup</span><span class=""o"">.</span><span class=""n"">find_all</span><span class=""p"">(</span><span class=""kc"">True</span><span class=""p"">):</span>
    <span class=""nb"">print</span><span class=""p"">(</span><span class=""n"">tag</span><span class=""o"">.</span><span class=""n"">name</span><span class=""p"">)</span>
<span class=""c1""># html</span>
<span class=""c1""># head</span>
<span class=""c1""># title</span>
<span class=""c1""># body</span>
<span class=""c1""># p</span>
<span class=""c1""># b</span>
<span class=""c1""># p</span>
<span class=""c1""># a</span>
<span class=""c1""># a</span>
<span class=""c1""># a</span>
<span class=""c1""># p</span>
</pre></div>
</div>
</div>
<div class=""section"" id=""a-function"">
<h3>A function<a class=""headerlink"" href=""#a-function"" title=""Permalink to this headline"">¶</a></h3>
<p>If none of the other matches work for you, define a function that
takes an element as its only argument. The function should return
<code class=""docutils literal notranslate""><span class=""pre"">True</span></code> if the argument matches, and <code class=""docutils literal notranslate""><span class=""pre"">False</span></code> otherwise.</p>
<p>Here’s a function that returns <code class=""docutils literal notranslate""><span class=""pre"">True</span></code> if a tag defines the “class”
attribute but doesn’t define the “id” attribute:</p>
<div class=""highlight-default notranslate""><div class=""highlight""><pre><span></span><span class=""k"">def</span> <span class=""nf"">has_class_but_no_id</span><span class=""p"">(</span><span class=""n"">tag</span><span class=""p"">):</span>
    <span class=""k"">return</span> <span class=""n"">tag</span><span class=""o"">.</span><span class=""n"">has_attr</span><span class=""p"">(</span><span class=""s1"">'class'</span><span class=""p"">)</span> <span class=""ow"">and</span> <span class=""ow"">not</span> <span class=""n"">tag</span><span class=""o"">.</span><span class=""n"">has_attr</span><span class=""p"">(</span><span class=""s1"">'id'</span><span class=""p"">)</span>
</pre></div>
</div>
<p>Pass this function into <code class=""docutils literal notranslate""><span class=""pre"">find_all()</span></code> and you’ll pick up all the &lt;p&gt;
tags:</p>
<div class=""highlight-default notranslate""><div class=""highlight""><pre><span></span><span class=""n"">soup</span><span class=""o"">.</span><span class=""n"">find_all</span><span class=""p"">(</span><span class=""n"">has_class_but_no_id</span><span class=""p"">)</span>
<span class=""c1""># [&lt;p class=""title""&gt;&lt;b&gt;The Dormouse's story&lt;/b&gt;&lt;/p&gt;,</span>
<span class=""c1"">#  &lt;p class=""story""&gt;Once upon a time there were…bottom of a well.&lt;/p&gt;,</span>
<span class=""c1"">#  &lt;p class=""story""&gt;...&lt;/p&gt;]</span>
</pre></div>
</div>
<p>This function only picks up the &lt;p&gt; tags. It doesn’t pick up the &lt;a&gt;
tags, because those tags define both “class” and “id”. It doesn’t pick
up tags like &lt;html&gt; and &lt;title&gt;, because those tags don’t define
“class”.</p>
<p>If you pass in a function to filter on a specific attribute like
<code class=""docutils literal notranslate""><span class=""pre"">href</span></code>, the argument passed into the function will be the attribute
value, not the whole tag. Here’s a function that finds all <code class=""docutils literal notranslate""><span class=""pre"">a</span></code> tags
whose <code class=""docutils literal notranslate""><span class=""pre"">href</span></code> attribute <em>does not</em> match a regular expression:</p>
<div class=""highlight-default notranslate""><div class=""highlight""><pre><span></span><span class=""kn"">import</span> <span class=""nn"">re</span>
<span class=""k"">def</span> <span class=""nf"">not_lacie</span><span class=""p"">(</span><span class=""n"">href</span><span class=""p"">):</span>
    <span class=""k"">return</span> <span class=""n"">href</span> <span class=""ow"">and</span> <span class=""ow"">not</span> <span class=""n"">re</span><span class=""o"">.</span><span class=""n"">compile</span><span class=""p"">(</span><span class=""s2"">""lacie""</span><span class=""p"">)</span><span class=""o"">.</span><span class=""n"">search</span><span class=""p"">(</span><span class=""n"">href</span><span class=""p"">)</span>

<span class=""n"">soup</span><span class=""o"">.</span><span class=""n"">find_all</span><span class=""p"">(</span><span class=""n"">href</span><span class=""o"">=</span><span class=""n"">not_lacie</span><span class=""p"">)</span>
<span class=""c1""># [&lt;a class=""sister"" href=""http://example.com/elsie"" id=""link1""&gt;Elsie&lt;/a&gt;,</span>
<span class=""c1"">#  &lt;a class=""sister"" href=""http://example.com/tillie"" id=""link3""&gt;Tillie&lt;/a&gt;]</span>
</pre></div>
</div>
<p>The function can be as complicated as you need it to be. Here’s a
function that returns <code class=""docutils literal notranslate""><span class=""pre"">True</span></code> if a tag is surrounded by string
objects:</p>
<div class=""highlight-default notranslate""><div class=""highlight""><pre><span></span><span class=""kn"">from</span> <span class=""nn"">bs4</span> <span class=""kn"">import</span> <span class=""n"">NavigableString</span>
<span class=""k"">def</span> <span class=""nf"">surrounded_by_strings</span><span class=""p"">(</span><span class=""n"">tag</span><span class=""p"">):</span>
    <span class=""k"">return</span> <span class=""p"">(</span><span class=""nb"">isinstance</span><span class=""p"">(</span><span class=""n"">tag</span><span class=""o"">.</span><span class=""n"">next_element</span><span class=""p"">,</span> <span class=""n"">NavigableString</span><span class=""p"">)</span>
            <span class=""ow"">and</span> <span class=""nb"">isinstance</span><span class=""p"">(</span><span class=""n"">tag</span><span class=""o"">.</span><span class=""n"">previous_element</span><span class=""p"">,</span> <span class=""n"">NavigableString</span><span class=""p"">))</span>

<span class=""k"">for</span> <span class=""n"">tag</span> <span class=""ow"">in</span> <span class=""n"">soup</span><span class=""o"">.</span><span class=""n"">find_all</span><span class=""p"">(</span><span class=""n"">surrounded_by_strings</span><span class=""p"">):</span>
    <span class=""nb"">print</span><span class=""p"">(</span><span class=""n"">tag</span><span class=""o"">.</span><span class=""n"">name</span><span class=""p"">)</span>
<span class=""c1""># body</span>
<span class=""c1""># p</span>
<span class=""c1""># a</span>
<span class=""c1""># a</span>
<span class=""c1""># a</span>
<span class=""c1""># p</span>
</pre></div>
</div>
<p>Now we’re ready to look at the search methods in detail.</p>
</div>
</div>"
div,10,p,4,"<div class=""highlight-default notranslate""><div class=""highlight""><pre><span></span><span class=""n"">soup</span><span class=""o"">.</span><span class=""n"">find_all</span><span class=""p"">(</span><span class=""s2"">""title""</span><span class=""p"">)</span>
<span class=""c1""># [&lt;title&gt;The Dormouse's story&lt;/title&gt;]</span>

<span class=""n"">soup</span><span class=""o"">.</span><span class=""n"">find_all</span><span class=""p"">(</span><span class=""s2"">""p""</span><span class=""p"">,</span> <span class=""s2"">""title""</span><span class=""p"">)</span>
<span class=""c1""># [&lt;p class=""title""&gt;&lt;b&gt;The Dormouse's story&lt;/b&gt;&lt;/p&gt;]</span>

<span class=""n"">soup</span><span class=""o"">.</span><span class=""n"">find_all</span><span class=""p"">(</span><span class=""s2"">""a""</span><span class=""p"">)</span>
<span class=""c1""># [&lt;a class=""sister"" href=""http://example.com/elsie"" id=""link1""&gt;Elsie&lt;/a&gt;,</span>
<span class=""c1"">#  &lt;a class=""sister"" href=""http://example.com/lacie"" id=""link2""&gt;Lacie&lt;/a&gt;,</span>
<span class=""c1"">#  &lt;a class=""sister"" href=""http://example.com/tillie"" id=""link3""&gt;Tillie&lt;/a&gt;]</span>

<span class=""n"">soup</span><span class=""o"">.</span><span class=""n"">find_all</span><span class=""p"">(</span><span class=""nb"">id</span><span class=""o"">=</span><span class=""s2"">""link2""</span><span class=""p"">)</span>
<span class=""c1""># [&lt;a class=""sister"" href=""http://example.com/lacie"" id=""link2""&gt;Lacie&lt;/a&gt;]</span>

<span class=""kn"">import</span> <span class=""nn"">re</span>
<span class=""n"">soup</span><span class=""o"">.</span><span class=""n"">find</span><span class=""p"">(</span><span class=""n"">string</span><span class=""o"">=</span><span class=""n"">re</span><span class=""o"">.</span><span class=""n"">compile</span><span class=""p"">(</span><span class=""s2"">""sisters""</span><span class=""p"">))</span>
<span class=""c1""># 'Once upon a time there were three little sisters; and their names were\n'</span>
</pre></div>
</div>","<p>The <code class=""docutils literal notranslate""><span class=""pre"">find_all()</span></code> method looks through a tag’s descendants and
retrieves <cite>all</cite> descendants that match your filters. I gave several
examples in <a class=""reference internal"" href=""#kinds-of-filters"">Kinds of filters</a>, but here are a few more:</p>"
div,10,p,9,"<div class=""section"" id=""the-name-argument"">
<span id=""id12""></span><h3>The <code class=""docutils literal notranslate""><span class=""pre"">name</span></code> argument<a class=""headerlink"" href=""#the-name-argument"" title=""Permalink to this headline"">¶</a></h3>
<p>Pass in a value for <code class=""docutils literal notranslate""><span class=""pre"">name</span></code> and you’ll tell Beautiful Soup to only
consider tags with certain names. Text strings will be ignored, as
will tags whose names that don’t match.</p>
<p>This is the simplest usage:</p>
<div class=""highlight-default notranslate""><div class=""highlight""><pre><span></span><span class=""n"">soup</span><span class=""o"">.</span><span class=""n"">find_all</span><span class=""p"">(</span><span class=""s2"">""title""</span><span class=""p"">)</span>
<span class=""c1""># [&lt;title&gt;The Dormouse's story&lt;/title&gt;]</span>
</pre></div>
</div>
<p>Recall from <a class=""reference internal"" href=""#kinds-of-filters"">Kinds of filters</a> that the value to <code class=""docutils literal notranslate""><span class=""pre"">name</span></code> can be <a class=""reference internal"" href=""#a-string"">a
string</a>, <a class=""reference internal"" href=""#a-regular-expression"">a regular expression</a>, <a class=""reference internal"" href=""#a-list"">a list</a>, <a class=""reference internal"" href=""#a-function"">a function</a>, or <a class=""reference internal"" href=""#the-value-true"">the value
True</a>.</p>
</div>","<p>Some of these should look familiar, but others are new. What does it
mean to pass in a value for <code class=""docutils literal notranslate""><span class=""pre"">string</span></code>, or <code class=""docutils literal notranslate""><span class=""pre"">id</span></code>? Why does
<code class=""docutils literal notranslate""><span class=""pre"">find_all(""p"",</span> <span class=""pre"">""title"")</span></code> find a &lt;p&gt; tag with the CSS class “title”?
Let’s look at the arguments to <code class=""docutils literal notranslate""><span class=""pre"">find_all()</span></code>.</p>"
div,11,p,0,"<div class=""highlight-default notranslate""><div class=""highlight""><pre><span></span><span class=""n"">soup</span><span class=""o"">.</span><span class=""n"">find_all</span><span class=""p"">(</span><span class=""s2"">""title""</span><span class=""p"">)</span>
<span class=""c1""># [&lt;title&gt;The Dormouse's story&lt;/title&gt;]</span>
</pre></div>
</div>",<p>This is the simplest usage:</p>
div,10,div,29,"<div class=""section"" id=""the-keyword-arguments"">
<span id=""kwargs""></span><h3>The keyword arguments<a class=""headerlink"" href=""#the-keyword-arguments"" title=""Permalink to this headline"">¶</a></h3>
<p>Any argument that’s not recognized will be turned into a filter on one
of a tag’s attributes. If you pass in a value for an argument called <code class=""docutils literal notranslate""><span class=""pre"">id</span></code>,
Beautiful Soup will filter against each tag’s ‘id’ attribute:</p>
<div class=""highlight-default notranslate""><div class=""highlight""><pre><span></span><span class=""n"">soup</span><span class=""o"">.</span><span class=""n"">find_all</span><span class=""p"">(</span><span class=""nb"">id</span><span class=""o"">=</span><span class=""s1"">'link2'</span><span class=""p"">)</span>
<span class=""c1""># [&lt;a class=""sister"" href=""http://example.com/lacie"" id=""link2""&gt;Lacie&lt;/a&gt;]</span>
</pre></div>
</div>
<p>If you pass in a value for <code class=""docutils literal notranslate""><span class=""pre"">href</span></code>, Beautiful Soup will filter
against each tag’s ‘href’ attribute:</p>
<div class=""highlight-default notranslate""><div class=""highlight""><pre><span></span><span class=""n"">soup</span><span class=""o"">.</span><span class=""n"">find_all</span><span class=""p"">(</span><span class=""n"">href</span><span class=""o"">=</span><span class=""n"">re</span><span class=""o"">.</span><span class=""n"">compile</span><span class=""p"">(</span><span class=""s2"">""elsie""</span><span class=""p"">))</span>
<span class=""c1""># [&lt;a class=""sister"" href=""http://example.com/elsie"" id=""link1""&gt;Elsie&lt;/a&gt;]</span>
</pre></div>
</div>
<p>You can filter an attribute based on <a class=""reference internal"" href=""#a-string"">a string</a>, <a class=""reference internal"" href=""#a-regular-expression"">a regular
expression</a>, <a class=""reference internal"" href=""#a-list"">a list</a>, <a class=""reference internal"" href=""#a-function"">a function</a>, or <a class=""reference internal"" href=""#the-value-true"">the value True</a>.</p>
<p>This code finds all tags whose <code class=""docutils literal notranslate""><span class=""pre"">id</span></code> attribute has a value,
regardless of what the value is:</p>
<div class=""highlight-default notranslate""><div class=""highlight""><pre><span></span><span class=""n"">soup</span><span class=""o"">.</span><span class=""n"">find_all</span><span class=""p"">(</span><span class=""nb"">id</span><span class=""o"">=</span><span class=""kc"">True</span><span class=""p"">)</span>
<span class=""c1""># [&lt;a class=""sister"" href=""http://example.com/elsie"" id=""link1""&gt;Elsie&lt;/a&gt;,</span>
<span class=""c1"">#  &lt;a class=""sister"" href=""http://example.com/lacie"" id=""link2""&gt;Lacie&lt;/a&gt;,</span>
<span class=""c1"">#  &lt;a class=""sister"" href=""http://example.com/tillie"" id=""link3""&gt;Tillie&lt;/a&gt;]</span>
</pre></div>
</div>
<p>You can filter multiple attributes at once by passing in more than one
keyword argument:</p>
<div class=""highlight-default notranslate""><div class=""highlight""><pre><span></span><span class=""n"">soup</span><span class=""o"">.</span><span class=""n"">find_all</span><span class=""p"">(</span><span class=""n"">href</span><span class=""o"">=</span><span class=""n"">re</span><span class=""o"">.</span><span class=""n"">compile</span><span class=""p"">(</span><span class=""s2"">""elsie""</span><span class=""p"">),</span> <span class=""nb"">id</span><span class=""o"">=</span><span class=""s1"">'link1'</span><span class=""p"">)</span>
<span class=""c1""># [&lt;a class=""sister"" href=""http://example.com/elsie"" id=""link1""&gt;Elsie&lt;/a&gt;]</span>
</pre></div>
</div>
<p>Some attributes, like the data-* attributes in HTML 5, have names that
can’t be used as the names of keyword arguments:</p>
<div class=""highlight-default notranslate""><div class=""highlight""><pre><span></span><span class=""n"">data_soup</span> <span class=""o"">=</span> <span class=""n"">BeautifulSoup</span><span class=""p"">(</span><span class=""s1"">'&lt;div data-foo=""value""&gt;foo!&lt;/div&gt;'</span><span class=""p"">,</span> <span class=""s1"">'html.parser'</span><span class=""p"">)</span>
<span class=""n"">data_soup</span><span class=""o"">.</span><span class=""n"">find_all</span><span class=""p"">(</span><span class=""n"">data</span><span class=""o"">-</span><span class=""n"">foo</span><span class=""o"">=</span><span class=""s2"">""value""</span><span class=""p"">)</span>
<span class=""c1""># SyntaxError: keyword can't be an expression</span>
</pre></div>
</div>
<p>You can use these attributes in searches by putting them into a
dictionary and passing the dictionary into <code class=""docutils literal notranslate""><span class=""pre"">find_all()</span></code> as the
<code class=""docutils literal notranslate""><span class=""pre"">attrs</span></code> argument:</p>
<div class=""highlight-default notranslate""><div class=""highlight""><pre><span></span><span class=""n"">data_soup</span><span class=""o"">.</span><span class=""n"">find_all</span><span class=""p"">(</span><span class=""n"">attrs</span><span class=""o"">=</span><span class=""p"">{</span><span class=""s2"">""data-foo""</span><span class=""p"">:</span> <span class=""s2"">""value""</span><span class=""p"">})</span>
<span class=""c1""># [&lt;div data-foo=""value""&gt;foo!&lt;/div&gt;]</span>
</pre></div>
</div>
<p>You can’t use a keyword argument to search for HTML’s ‘name’ element,
because Beautiful Soup uses the <code class=""docutils literal notranslate""><span class=""pre"">name</span></code> argument to contain the name
of the tag itself. Instead, you can give a value to ‘name’ in the
<code class=""docutils literal notranslate""><span class=""pre"">attrs</span></code> argument:</p>
<div class=""highlight-default notranslate""><div class=""highlight""><pre><span></span><span class=""n"">name_soup</span> <span class=""o"">=</span> <span class=""n"">BeautifulSoup</span><span class=""p"">(</span><span class=""s1"">'&lt;input name=""email""/&gt;'</span><span class=""p"">,</span> <span class=""s1"">'html.parser'</span><span class=""p"">)</span>
<span class=""n"">name_soup</span><span class=""o"">.</span><span class=""n"">find_all</span><span class=""p"">(</span><span class=""n"">name</span><span class=""o"">=</span><span class=""s2"">""email""</span><span class=""p"">)</span>
<span class=""c1""># []</span>
<span class=""n"">name_soup</span><span class=""o"">.</span><span class=""n"">find_all</span><span class=""p"">(</span><span class=""n"">attrs</span><span class=""o"">=</span><span class=""p"">{</span><span class=""s2"">""name""</span><span class=""p"">:</span> <span class=""s2"">""email""</span><span class=""p"">})</span>
<span class=""c1""># [&lt;input name=""email""/&gt;]</span>
</pre></div>
</div>
</div>","<div class=""section"" id=""the-name-argument"">
<span id=""id12""></span><h3>The <code class=""docutils literal notranslate""><span class=""pre"">name</span></code> argument<a class=""headerlink"" href=""#the-name-argument"" title=""Permalink to this headline"">¶</a></h3>
<p>Pass in a value for <code class=""docutils literal notranslate""><span class=""pre"">name</span></code> and you’ll tell Beautiful Soup to only
consider tags with certain names. Text strings will be ignored, as
will tags whose names that don’t match.</p>
<p>This is the simplest usage:</p>
<div class=""highlight-default notranslate""><div class=""highlight""><pre><span></span><span class=""n"">soup</span><span class=""o"">.</span><span class=""n"">find_all</span><span class=""p"">(</span><span class=""s2"">""title""</span><span class=""p"">)</span>
<span class=""c1""># [&lt;title&gt;The Dormouse's story&lt;/title&gt;]</span>
</pre></div>
</div>
<p>Recall from <a class=""reference internal"" href=""#kinds-of-filters"">Kinds of filters</a> that the value to <code class=""docutils literal notranslate""><span class=""pre"">name</span></code> can be <a class=""reference internal"" href=""#a-string"">a
string</a>, <a class=""reference internal"" href=""#a-regular-expression"">a regular expression</a>, <a class=""reference internal"" href=""#a-list"">a list</a>, <a class=""reference internal"" href=""#a-function"">a function</a>, or <a class=""reference internal"" href=""#the-value-true"">the value
True</a>.</p>
</div>"
div,11,p,2,"<div class=""highlight-default notranslate""><div class=""highlight""><pre><span></span><span class=""n"">soup</span><span class=""o"">.</span><span class=""n"">find_all</span><span class=""p"">(</span><span class=""nb"">id</span><span class=""o"">=</span><span class=""s1"">'link2'</span><span class=""p"">)</span>
<span class=""c1""># [&lt;a class=""sister"" href=""http://example.com/lacie"" id=""link2""&gt;Lacie&lt;/a&gt;]</span>
</pre></div>
</div>","<p>Any argument that’s not recognized will be turned into a filter on one
of a tag’s attributes. If you pass in a value for an argument called <code class=""docutils literal notranslate""><span class=""pre"">id</span></code>,
Beautiful Soup will filter against each tag’s ‘id’ attribute:</p>"
div,11,p,2,"<div class=""highlight-default notranslate""><div class=""highlight""><pre><span></span><span class=""n"">soup</span><span class=""o"">.</span><span class=""n"">find_all</span><span class=""p"">(</span><span class=""n"">href</span><span class=""o"">=</span><span class=""n"">re</span><span class=""o"">.</span><span class=""n"">compile</span><span class=""p"">(</span><span class=""s2"">""elsie""</span><span class=""p"">))</span>
<span class=""c1""># [&lt;a class=""sister"" href=""http://example.com/elsie"" id=""link1""&gt;Elsie&lt;/a&gt;]</span>
</pre></div>
</div>","<p>If you pass in a value for <code class=""docutils literal notranslate""><span class=""pre"">href</span></code>, Beautiful Soup will filter
against each tag’s ‘href’ attribute:</p>"
div,11,p,2,"<div class=""highlight-default notranslate""><div class=""highlight""><pre><span></span><span class=""n"">soup</span><span class=""o"">.</span><span class=""n"">find_all</span><span class=""p"">(</span><span class=""nb"">id</span><span class=""o"">=</span><span class=""kc"">True</span><span class=""p"">)</span>
<span class=""c1""># [&lt;a class=""sister"" href=""http://example.com/elsie"" id=""link1""&gt;Elsie&lt;/a&gt;,</span>
<span class=""c1"">#  &lt;a class=""sister"" href=""http://example.com/lacie"" id=""link2""&gt;Lacie&lt;/a&gt;,</span>
<span class=""c1"">#  &lt;a class=""sister"" href=""http://example.com/tillie"" id=""link3""&gt;Tillie&lt;/a&gt;]</span>
</pre></div>
</div>","<p>This code finds all tags whose <code class=""docutils literal notranslate""><span class=""pre"">id</span></code> attribute has a value,
regardless of what the value is:</p>"
div,11,p,0,"<div class=""highlight-default notranslate""><div class=""highlight""><pre><span></span><span class=""n"">soup</span><span class=""o"">.</span><span class=""n"">find_all</span><span class=""p"">(</span><span class=""n"">href</span><span class=""o"">=</span><span class=""n"">re</span><span class=""o"">.</span><span class=""n"">compile</span><span class=""p"">(</span><span class=""s2"">""elsie""</span><span class=""p"">),</span> <span class=""nb"">id</span><span class=""o"">=</span><span class=""s1"">'link1'</span><span class=""p"">)</span>
<span class=""c1""># [&lt;a class=""sister"" href=""http://example.com/elsie"" id=""link1""&gt;Elsie&lt;/a&gt;]</span>
</pre></div>
</div>","<p>You can filter multiple attributes at once by passing in more than one
keyword argument:</p>"
div,11,p,0,"<div class=""highlight-default notranslate""><div class=""highlight""><pre><span></span><span class=""n"">data_soup</span> <span class=""o"">=</span> <span class=""n"">BeautifulSoup</span><span class=""p"">(</span><span class=""s1"">'&lt;div data-foo=""value""&gt;foo!&lt;/div&gt;'</span><span class=""p"">,</span> <span class=""s1"">'html.parser'</span><span class=""p"">)</span>
<span class=""n"">data_soup</span><span class=""o"">.</span><span class=""n"">find_all</span><span class=""p"">(</span><span class=""n"">data</span><span class=""o"">-</span><span class=""n"">foo</span><span class=""o"">=</span><span class=""s2"">""value""</span><span class=""p"">)</span>
<span class=""c1""># SyntaxError: keyword can't be an expression</span>
</pre></div>
</div>","<p>Some attributes, like the data-* attributes in HTML 5, have names that
can’t be used as the names of keyword arguments:</p>"
div,11,p,4,"<div class=""highlight-default notranslate""><div class=""highlight""><pre><span></span><span class=""n"">data_soup</span><span class=""o"">.</span><span class=""n"">find_all</span><span class=""p"">(</span><span class=""n"">attrs</span><span class=""o"">=</span><span class=""p"">{</span><span class=""s2"">""data-foo""</span><span class=""p"">:</span> <span class=""s2"">""value""</span><span class=""p"">})</span>
<span class=""c1""># [&lt;div data-foo=""value""&gt;foo!&lt;/div&gt;]</span>
</pre></div>
</div>","<p>You can use these attributes in searches by putting them into a
dictionary and passing the dictionary into <code class=""docutils literal notranslate""><span class=""pre"">find_all()</span></code> as the
<code class=""docutils literal notranslate""><span class=""pre"">attrs</span></code> argument:</p>"
